"","transport","."
"174","fynbus","Amatør selskab                                                    Magen til dårlig service skal man kigge længe efter. Hvordan et selskab som Fynbus kan have retten til offentligt transport på fyn og i Danmarks tredje største by, er mig en gåde. Kommer bussen til tiden? - Nej, selvfølgeligt ikke. Skal man sidde og fryse i minusgrader inde i bussen om vinteren? - Ja da.Skal man svede sig halvt ihjel om sommeren? - Ja da.Har chaufføren mundbind på? - Nej da.Kører chaufføren fuldstændigt hassarderet fordi de altid er for sent i forhold til deres tidsplan? - Selvfølgeligt.Virker deres mobil app? - Nej, det gør den ikke. Men bare roligt, pengene går igennem og du bare betalt for absolut ingenting. Du får ingen billet, men derimod en forfærdelig oplevelse. win-win for Fynbus.Sidder i skrivende stund og er lidt små-frustreret over at jeg fik en bøde tidligere. Betalte for en billet gennem deres mobil app. Fik ikke billetten, men tænkte at jeg jo kunne vise min bankoverføresel. Den var kontrolløren ikke interesseret i. Skulle så af med 750,- for at kunne tage ud og blive testet for Covid-19. En fin fidus for Fynbus at kunne referere til en app der ikke virker, hvorefter de kan smide en bøde i hovedet på dig. Magen til dårlig service skal man kigge længe efter."
"175","fynbus","Respektløst oguansvarligt                                                    Da jeg i torsdags d. 18-3-2021 skulle med bussen kl.13.20 fra Svebdborg til Rudkøbing,- gav chaufføren en lærer lov til, at 27 andenklasses elever + 2 lærere kunne køre med til Tåsinge 🙈Der var i forvejen ca 10 betalende kunder i bussen, og dem der stod på efter stationen, måtte sætte sig på samme sæde som andre trods Corona ??Da vi nåede Svendborgsundbroen, åbnede chaufføren døren og sagde til de 5 ventende kunder, at bussen var fuld, og der kom en ny bus om lidt 🙈Jeg talte senere med en af de afviste, som skulle stortisse , hun sagde at der gik en time før næste bus kom...!!HVAD FAN... BILDER FYNBUS SIG IND?Folk der har betalt for transport, skal vie pladsen for en flok skolebørn, hvis lærere burde bestille ‘skole kørsel’ til så mange børn.SIG MIG SKIDER I ALLE HØJT OG FLOT PÅ SIKKERHED OG CORONA?Mangel på respekt tænker jeg."
"176","fynbus","Det bar godt at kører med 110                                                    Det bar godt at kører med 110, især buschaufføren kæmpe chef;)"
"177","fynbus","Ekstrem dårlig service                                                    busselskabets chauffører forstår ikke dansk og er lettere stødende i deres måde at tiltale deres kunder på. Man kan ikke længere betale med kontanter selv om det ikke er blevet annonceret. Tidsplanen er lettere ikke eksisterende. De er skyld i at jeg nu kigger på bil."
"178","fynbus","3 smukke stjerner og lidt konstruktiv kritik:                                                    I modsætning til mange andre, herunder, vil jeg egentlig gerne give Fynbus minimum 3 stjerner. Ikke fordi der ikke forefindes store mangler i/omkring Fynbus: Mere herom senere!. Først dog det mere positive. Jeg anvender bybus ca 3-5 gange om ugen, og synes egentlig, at det meste fungerer vældig fint, og at mange chauffører i Fynbus fortjener stor ros- og respekt. Dernæst også en stor applaus til selve tanken om kollektive fælles transportløsninger. Også for nogle ’nogenlunde’ rene og ryddelige busser: Kun trist- og sørgeligt, at der også findes så mange ’bus-grisebasser’ som tilfældet er. Tilsvarende trist- og sørgeligt, at der herunder også findes nogle fuldstændigt tankeløse ’egotyper’, der ’spasseragtigt’ placerer deres beskidte sko- og støvler oppe i sæderne, hvor de muligvis, endog selv, skal sidde et par timer efter - i den modsatte retning. Men nu til min egentlige, og mere kritiske, anledning til at skrive denne Fynbus-anmeldelse: I dag har jeg således, IGEN IGEN, oplevet en helt tilfældig bus, fra Banegårdscentret mod Seden Syd, hvor TERMOSTATSTYRINGEN af varmepanelerne ikke fungerede fra den midterste indgang – og bagud!. Jeg har, historisk, ofte henvendt mig til chaufførerne i samme anledning. Således også i dag, hvor jeg går op til chaufføren ved krydset Åsumvej og Vollsmose Allé og hvor jeg venligst får chaufføren til, manuelt, at standse varmeapparatet. Det modsatte, at påtale en opstart af varmeapparatet, har aldrig været nødvendigt. Kun yderst besynderligt, at Fynbus ikke kan få deres TERMOSTATSYSTEM til at fungere automatisk, således at det selv slår fra ved en given indstillet- og behagelig valgt temperatur. Det er jo ganske håbløst, at man uhyre ofte manuelt må påtale disse hyppigt forekommende forhold. Desuden har jeg indtrykket af, at visse chauffører end ikke er blevet informeret om, hvordan man manuelt afbryder varmeapparaterne bagtil i visse busmodeller. I hvert tilfælde lykkes det ikke altid for alle chauffører, modsat viljen hertil, at opfylde dette ønske. I dag lykkedes det dog til min fulde tilfredshed. Min sidste kritik bør navngives som en kritik af det automatiserede billetsystem- og/ell manglen på kontrol af gyldigt rejsehjemmel: Der ’stryger’ således, uden at jeg kan vide det med bestemthed, rigtig mange igennem nu, hvor der ikke kontrolleres, og sanktioneres, manuelt ved påstigning. Jeg glæder mig, på fællesskabets vegne, hver gang jeg ser billetkontrollen stige ombord!. Jeg har således på fornemmelsen, at deres løn så rigeligt opvejes af deres indkasserede bødetakster!. Denne kontrol burde udvides betragteligt jvf hyppige stikprøver-, analyser- og afledte behovs-estimater!. Godt nytår til Fynbus og alle, der betaler deres andel af denne manifesterede smukke tanke!. Mvh 'Rejsekort-kunde' 3084302026523418."
"179","fynbus","Fynbus.                                                    Fynbus.. Det eneste firma hvor man ikke kan bruge penge eller kort... tænk hvis du skulle have en app for at betale ethvert sted. så skulle man have 10 dagligvare apps.... mega dårligt det tager over 24 timer før ens periodekort er ""Aktiveret"" en god måde lige at tvinge folk til dagsbillet.."
"180","fynbus","Tak og farvel Fynbus jeg er købt mig en…                                                    Tak og farvel Fynbus jeg er købt mig en bil"
"181","fynbus","""Spred jer i bussen"" og ""hold afstand""                                                    God information omkring Corona. Har også sat pris på  Fynbus's kørsel i hele perioden. Så tak for det:)Er dog en skam at der jævnligt er passagerer, som ikke forstår hvad ""spred jer i bussen"" og ""hold afstand"" betyder, fordi de sætter sig foran eller bag  ved andre, selvom der er masser af pladser længere nede F.eks! Kan ikke se behovet for at ""klumpe sig sammen"". I et supermarked, butik, på gaden ect kan man flytte sig. Det BURDE ikke være nødvendigt i bussen, eller?"
"182","fynbus","Dårlig kundeservice                                                    Min datter bestiller en teletaxi fra Svendborg til Spodsbjerg.Teletaxien kom ikke, og ved opringning til Fynbus siger de først, at det ikke ser ud til at min datter overhovedet HAR bestilt en teletaxi. Min datter må derefter vente på en bus i 45 min!da jeg så ringer til Fynbus for at høre hvad det er for noget, fortæller de, at min datter ganske rigtigt HAR bestilt en teletaxi på det pågældende tidspunkt, men at hun selv valgte ikke at vente på teletaxien og i stedet tage en bus!!!!!!!!og for det ikke skal være løgn er det ikke første gang vi har oplevet dette med teletaxiordningen, og det er sjovt nok altid kunden der ender med at få skylden for problemet. Fynbus påtager sig ALDRIG ansvaret for deres fejl, og de har ALDRIG en løsning eller kompensation til deres kunde. Forstår ikke hvorfor man ikke kan få en sms fra Fynbus som bekræftelse på at man har bestilt en teletaxi. Men det er joOgså nemmere for Fynbus at løbe fra sit ansvar, når bestillingen alene er mundtlig. Jeg er dødtræt af Fynbusbøvl, men har jo desværre ikke et alternativ☹"
"183","fynbus","Forsinket                                                    Fynbus er simpelthen alt for dårlige! Altid forsinket, og medmindre man ikke har en tlf, så kan man ikke finde ud af det. De burde få standere op. Dårlig service"
"184","fynbus","Generelt en elendig virksomhed."
"185","fynbus","+Rep                                                    Man ved, hvor man har jer, stabilt 7 minutter for sent, men det gør nu ikke så meget, jeres buschauffører er flinke og altid med på noget sjov. + rep"
"186","fynbus","Bestil en taxa i stedet                                                    Den dag hvor Fynbus levere en god rejse giver jeg bajer til alle i landet"
"187","fynbus","tror aldrig jeg har mødt dårligere…                                                    tror aldrig jeg har mødt dårligere trafikanter det sidste år vi har kørt med bussen Inden for den sidste måned 1: har jeg knaldet hoved ind i en pæl, 2: sidste uge smadderet min kone benet ind i en pæl i bussen, 3: i dag bliv vores søn på 2 smidt ned af bussen dog grebet af mor, de kan være jeres chauffører skal tage deres Uddannelse/Kørekort om, jeg kan simpelthen ikke forstå hvorfor de har så travlt . der ud over kan det være i skal have et nr hvor man kan ringe og klage?"
"188","fynbus","Ungdomskort til fynbus 👎                                                    Jeg er Så træt af min datters ungdomskort, der gang på gang ikke virker. Jeg har fået hjælp flere gange af venlige msk ved support, men det viser sig efterfølgende, at det ikke løser vores problemer. Hjemmesiden til ungdomskort trænger virkelig til en opdatering, så den bliver mere logisk. Eks. låst: klar til betaling, under produktion: du skal tjekke indIkke engang medarbejderne, kan yde den nødvendige hjælp. Vi har efterhånden betalt mange dagsbilletter på grund af misforståelser og dårlig service.Jeg har fået den mistanke, at det passer dem fint, for så tjener de på det. Ved jo godt, det ikke kan være sådan, men føler mig virkelig frustreret. Kan ikke være den eneste, der oplever problemer med hjemmesiden til ungdomskort."
"189","fynbus","Sindssyge og farlig at køre med                                                    I er det mest sindssyge Offentlig transport jeg længe har kørt med. Fynbus er ikke bare dårlig Koordinering med deres køre planer i al almenlighed. De er også farlig at køre med.  Tit er chefførende meget stresset, og passagerne ink mig selv og mit barn på 2 år, ender med at flyve rundt inde i bussen.  En gang var mit barn ved at slå hoved ind i metal Stolpe fordi chefføren bremsede for hårdt op, jeg nåede at tage mit barns fald med min hofte. Med det resultat jeg var gul og blå i en uge. Og det var alt sammen fordi han var ved at køre ind i en anden bus få meter fra ham, han havde ganske Enkelt ikke set sig for. I dag med bussen fik jeg mit knæ ind i en stolpe fordi chefføren havde travlt med at gas hårdt op. Mit knæ er blå og gul og hævet jeg kan ikke stå på det.  Jeg føler mange af Fynbus Chauffører kører som gale stressede chimpanser der er lige lukket ud fra zoologisk have. Hvis det skal være så pisse farligt at køre med bussen, kan i så i det mindste ikke sæt priserne ned? I er urealistiske dyre, og i levere en vare der er mere end ringere i kvalitet, tage en eventuel inspiration fra hovedstaden.  Ringer man til kontoret er de konflikt sky og ikke løsning orienteret.I er for sindssyge, det kan ikke være rigtig at det skal være en voldsom og farlig oplevelse at tage med en bus til hverdag. Havde jeg mulighed for at tage et kørekort så havde jeg gjort det.Hvor finder i disse gale chefføre fra? Er deres adfærd tegn på stress? Eller er de bare sindssyge?"
"190","fynbus","Chaffør uden mundbind/corona beskyttelse                                                    Jeres chafføre skal også have mundbind på .. Det skal ikke bare sidde under hagen.. føj siger jeg bare,  i er sådan efter jeres kunder med mundbind osv .. tag jer sammen og stram op .."
"191","fynbus","Mega dårlig service!!!                                                    Sad i bussen og en mand med downs syndrom skulle med bussen, og man må jo ikke gå ind ad fordøren i disse coronatider, men det forstod manden ikke, og buschaufføren hjalp ham ikke! Men kørte bare videre uden at tage ham med, altså hvad er det for noget! Det var i bussen fra Nyborg nid Kerteminde"
"192","fynbus","Fynbus burde fratages bestillingen                                                    Fynbus burde fratages bestillingen. Jeg ved ikke om kombinationen af fynboer og busser i sig selv er en dårlig komnination. I hvert fald er man ligeglad med hvilken service man yder til borgerne. Lige siden man for en del år nedlagde ruten Faaborg - Bøjden og efter at man anlagde den ny motorvej Odense - Assens så ruten Nyborg Faaborg derved blev endnu længere giver ruten Nyborg-Bøjden ikke længere nogen mening."
"193","fynbus","Busschauffør med høretelefoner på imens…                                                    Busschauffør med høretelefoner på imens han kører. Farligt, hvis der sker noget han ikke kan høre."
"194","fynbus","Jeres service er simpelthen så ringe at…                                                    Jeres service er simpelthen så ringe at i lige så godt kunne dreje nøglen og lade andre komme til. jeg syntes det er så dårlig en service når man skal med bussen at man kun kan betale med mobiltelefon eller over nettet, på pc, man kan ikke sige at i tænker på den ældre generation som hverken har smartphone eller pc. Hvordan  har i tænkt jer at de skulle komme bussen, undskyld jeg spørger bare. Men hvis man så bare kunne betale med dankort eller hævekort det rører i jo heller ikke ved, så kunne det jo være at folk ikke er så sure på jer????????????????"
"195","fynbus","Dårlig kundeservice så det siger spar 2.                                                    Dårlig kundeservice og de tager intet ansvar for deres fejl og mangler. Har man et problem kommer de med deres typisk flabede svar: ""det kan vi ikke gøre noget ved.""Det er en skam at det skal være så besværligt at have med offentlig transport at gøre når man ikke har andet valg."
"196","fynbus","Igen en super øv oplevelse                                                    Igen en super øv oplevelse, pga forsinket tog når jeg kun lige at løbe hen til bussen, dog holder den stille endnu, men han starter bussen og kører... dårlig service og det er slet ikke første gang det sker..."
"197","fynbus","Kontant betaling TAK                                                    Kontant betaling TAKStop jeres coronafis og accepter kontanter, ellers får i aldrig kunder i butikken.I går var min svigerfar på 80 år i IKEA Odense, han blev  kørt derud, sat af og da han skulle hjem med bussen blev han afvist med at han kun kunne betale med mobilepay eller rejsekort. Han havde ingen af delene.HEREFTER VAR HAN TVUNGET TIL AT GÅ 5 KILOMETER HJEM.Tag jer for hel-ve-de sammen Fynbus, godt jeg ikke er turist i Danmark."
"198","fynbus","Få lige styr på jeres app.                                                    TL;DRDeres app er elendig, du kommer til at betale for det og hvis du klager er de ligeglade.Enten bliver i nød til at få styr på jeres rejsekort terminaler, ellers må i sørge for at jeres Haltene spedalske gamle kone af en app til at virke. Jeg har nu prøvet 3 gange at jeres rejsekort terminaler ikke virkede, oh well, det kan jo ske det møg. da jeg finder ud af det finder jeg appen frem for at købe en billet, tager det 5 min for at loade og købe billeten. Da der så kommer en kontrollør ind får jeg a vide ""tidspunktet på din billet passer ikke med det stop du sagde du stod på, og min konklusion er et du har købt billet da jeg steg ind i bussen. (det var 10 min siden jeg købte billetten). efterfølgene snakker jeg med et par af mine venner der allesammen snakker om de havde en 5 min lang loade tid på deres fynbus app. jeg vælger at klage til kundeservice via email og forklare situationen, men svaret jeg får tilbage er "" FynBus har ikke tekniske problemer med mobilbilletappen. Hvis du ikke kan købe en mobilbillet før påstigning, skal du billettere på anden vis, hvis du ønsker at benytte bussen.FynBus fastholder den tidligere afgørelse."" de er så ligeglade, tror lige så godt de kunne have en en auto svar der bare skriver NEJ til klagerne."
"199","fynbus","I ER TIL GRIN                                                    Fuldstændig til grin og Chaufførerne fatter ik noget som helst! Deres priser er alt for høj ift den service man modtager. Deres busser er ALTID forsinket eller for tidligt på den allerede fra første stop selvom der hverken er trafik eller noget galt med bussen.. chaufføren kører selvom du er nået til bussen på tiden og han ser dig! Deres kontrol er flabede og rap i kæften selvom de har intet at have det i med det job de går rundt og har.. haha! altså mere ringe kan det slet ikke blive så det virkelig flot! 😂 er godt nok glad for at jeg kun har kørt med et par gange og ikke mere og glad for mange deler samme holdning som mig! Det vil man i hvert fald ikke opleve igen."
"200","fynbus","Simplenthen så ringe fynbus                                                    Simplenthen så ringe fynbus Vores datter kom til at stemple ind som barn, på sidst flexrejsekort. Hun er fyldt 16 for tre måneder siden!!!! Han siger at hun jo er fyldt 16 for et halvt år siden. Kontrolløren skriver en bøde til hende( lige så dyr som ham der bevidst havde snydt og ikke købt billet) han kunne havde klaret det så fint ved at bede hende om at stemple ind som voksen. Men sådan er fynbus kontrollanter åbenbart ikke oplært. De skal åbenbart helst kradse flest penge ind!! Føj da, og ikke nok med det var hun på vej ind og købe en gave til vores anden datter der var indlag på ouh, det ødelagde hende dag. Der er ingen hjælp, eller sympati fra deres kundeservice. Jeg kan godt forstå i mister mange kunder. 1,5 stjerner på trustpilot siger vist alt. Vi overvejer andre muligheder end bussen, da vi generalt synes det er en god ide med bus, også hvad angår klima. Men hvis det er sådan fynbus er i fremtiden, så finder rigtigt mange andre også Andre muligheder for anden transport. Jeg har klaget over bøden, og også skrevet på facebook, men med det samme svar, at de ikke kan lave undtagelser. Så let at gemme sig under love og paragrafer."
"201","fynbus","Bussen er altid forsinket                                                    Bussen er altid forsinket, og jeg når aldrig mit tog, så kaster bare penge ud af vinduet. Synes det er for dårligt af dem"
"202","fynbus","Jeres buschauffør sparker mig ud af…                                                    Jeres buschauffør sparker mig ud af bussen inden jeg har en chance for at købe en billet, da jeres rejsekort terminal ikk virkede. efter at have stået og frøset i 30min og ventet på den sidste bus, det er fuldkommen vanvid. Jeg køre aldrig med fynbus igen."
"203","fynbus","Nu har jeg fået nok!!                                                    Nu har jeg forsøgt at få et nyt ungdomskort til min datter siden 30. december 19 og bliver i dag affærdiget med ordene ""forkert nummer"" og der bliver lagt på efter 30 min. ventetid. Fynbus kan ikke få perioderne til at passe sammen med det udstedt ungdomskort og kan derfor ikke bruges i bussen. Jeg betaler knap 700 kr for en ubehøvlet service i telefonen, masser af ventetid ved flere opkald og et kort der efter snart 1 1/2 måned stadig ikke virker. FYNBUS mangler vidst noget konkurrence!Dælme dårlig service!!"
"204","fynbus","Kundeservice er for Fynbus en mytisk…                                                    Kundeservice er for Fynbus en mytisk størrelse, som man muligvis har hørt legender om men aldrig rigtig selv har gjort sig nogen erfaringer med."
"205","fynbus","Endnu en dårlig anmeldelse                                                    Endnu en dårlig anmeldelse. Lidt sjovt I ikke svarer på nogen af dem. At man står på, og er i gang med at betale på appen. Betaler og derefter kommer en kontrollør og skal vise billetten. Man viser det, men han spørger hvor man har stået på. Det var den forrige stop, men det tager lige 2 min. At betale. Så får man en bøde på 750,-Har man virkelig lyst til at køre med offentligt transport? NEJ."
"206","fynbus","Jeg er super tilfreds med teletaxi…                                                    Jeg er super tilfreds med teletaxi kørslen vi bruger til min søn.De fleste gange man ringer ind, får man en behagelig samtale med kundeservice..Jeg har 4 gange fået fat i en snerrende person men udover det oplever vi fin forståelse, gode aftaler og god service fra jer.Og jeg vil gerne give dem der kører teletaxi kørsel, en kæmpe ros på min søns vegne for de behagelige køreture og ikke mindst deres venlighed.For at få den sidste stjerne skal jeres app virke samt indeholde alt det man har brug for som kunde, som at se børne takster og bestille ture for sit/sine barn/børn etc.Og en god behandling HVER gang man ringer til jeres kunde service ✌😊"
"207","fynbus","Det er fuldstændig hul i hovedet                                                    Det er fuldstændig hul i hovedet, at buspriserne fra Bogense til Odense koster 50kr(!) for ÉN vej - og 50kr når man skal tilbage. Altså 100kr!Det kan meget bedre svare sig at tage sin egen bil  og dette får jo desværre konsekvenser for Fynbus."
"208","fynbus","Total mangel på respekt for folks tid                                                    Total mangel på respekt for folks tid. Bussen er mere end 10 min forsinket men stadigvæk hyggesnakker buschaufførerne med hinanden på banegården i stedet for at køre videre for at indhente tiden. De holdte også for længe ved busstoppesteder selvom de kunne køre ud og fortsætte."
"209","fynbus","De vil så gerne have vi bruger…                                                    De vil så gerne have vi bruger offentlig transport og at vi tjekker rejseplanen inden vi rejser. men rejseplanen advarer ikke om at bussen er en rutebil som ikke medtager cykler og så har du ventet 15min og gået 1.4 km til stoppe stedet og bussen kører videre.så står man der med din punkterede cykel og skal gå de sidste 4km hjem i 4 graders kulde."
"210","fynbus","Hold da op en kundeservice.                                                    Hold da op en kundeservice.Jeg er rystet over måden men bliver talt til på. Jeg søgte om ungdomskort til studie, men fik aldrig svar på at være blevet godkendt. Over 2.000kr fattigere pga dyr transport på 1 mdr, får jeg så i dag et opkald fra en fra fynbus. Og føj, en måde at snakke ned til andre mennesker på. Jeg væmmes SÅ meget. Jeg har oplevet fantastiske bus chauffører, men alene pga denne rystende opførsel fra kundeservice, skal jeg ikke sætte mig i en af jeres busser igen. Én ting er at have svært ved at indrømme sine fejl, men at snakke direkte ned til kunden, er ud over alt kritik. Ikke overrasket over at se den ene stjerne, I har fået."
"211","fynbus","Buskontrollører i en nøddeskal                                                    Buskontrollører er ikke til at have en dialog med. De udskriver bøde til højre og venstre. Og først efter man har fået sin bøde ordineret, har man chancen for (over mail) at give sin forklaring på problemet. Hvilket i min sag faktisk var nødvendigt. få nogle kontrollører ind, der ikke syntes de er lavet af stål og er 1. i heirakiet, men nogle man kan snakke med om problemet, så det ikke skulle strække sig hen over flere dage."
"212","fynbus","Jeg er simpelthen så grueligt træt af…                                                    Jeg er simpelthen så grueligt træt af fynbus! Røvelendig kundeservice, der bliver INTET gjort, ved chauffører som virker truende overfor børn, eller de vælger at ''hoppe'' et stop over på vejen, fordi de har for travlt. Der er SÅ mange episoder som SLET ikke er håndteret optimalt! og havde der været andre selskaber at bruge til offentlig transport, så havde jeg ALDRIG sat mine ben i en fynbus igen! eller min datter for den sags skyld!Jeg håber der sidder nogle mennesker med dårlig smag i munden!"
"213","fynbus","Forsinket, dårlige chauffører.                                                    Hej fynbus. Jeg vil gerne klage over den nar af en buschauffør, der kører rute 141 forbi dalumcentret klokken 13.34. Han kører lige forbi mig selvom jeg står ved busstoppestedet med mit rejsekort fremme. Kunne sværge på jeg endda havde øjenkontakt med ham. Ovenpå det var bussen i forvejen godt forsinket; som altid. Giv ham en hilsen fra mig, og sig tak for den gode oplevelse. 0 stjerner til fynbus fra mig."
"214","fynbus","Inkompetente kontrollører                                                    Helt utrolig dårlig service af fynbus kontrollører. Jeg kører på ungdomskort til SDU og møder næsten hver gang kontrollører, der mener jeg ikke må kører i deres på busser på mit ungdomskort, på trods af at det netop er det ungdomskortet er til for, at kunne køre fra sin bopæl til sin skole. Det kan simpelthen ikke passe at man skal diskutere med dem og forklare dem hvor man må køre henne, det skal de bare kunne se når de aflæser et sådan kort.Selv når man viser dem ruten man må køre, på ens personlig profil og når man ringer ind til kundeservice og får at vide at man gerne må køre i bussen på den rute, mens kontrolløren er der! bliver man mødt af en uhøflig og magtliderlig attitude. Få dog ansat nogle kompetente og venligsindede mennesker. De er trods alt også Fynbus' ansigt udadtil og i øjeblikket ser det ikke godt ud."
"215","fynbus","Hvad er meningen!!!                                                    Min søn er godkendt til ungdomskortet i 3 år, han starter op på videregående uddannelse og efter 14 dage finder, han ud at han har valgt forkert og vil starte på et andet gymnasie. Jeg kontakter fynbus for at ændre gymnasie adresser og det udløser han skal have nyt kort, trods ungdomskortet må benyttes over hele fyn, 24/7. Jeg oplever at skal betale 50 kr for et nyt kort trods, det bare er en adresse ændring i deres system... udover.....Skal det gamle (14 dage gammel) buskorts periode nå at udløbe inden det nye buskort kan bestilles. Ekspeditions tiden på nyt kort er 10 hverdage så kan vi betale 88 kr tur/retur pr dag i overgangsperioden, trods han er godkendt til 12 kr og 49 øre pr dag ..Sikke et cirkus, for at benytte offenlig transport."
"216","fynbus","I denne weekend har efterskolerne haft…                                                    I denne weekend har efterskolerne haft deres første hjemsendelses weekend og dermed er det første gang, at de nye efterskole elever skal hjem og retur til skolerne. Det er jeg sikker på, at Fynbus ved. Derfor ved man også, at busserne vil blive overfyldte, og at børnene må mase sig ind for at komme med busserne, det er jo første gang og de vil jo ikke komme for sent tilbage til skolerne. De må derfor stå som sild i en tønde og nogle kan derfor  ikke komme til at tjekke deres rejsekort ind. Det ved Fynbus.... og så stopper men lidt efter, at man har proppet en bus og sender en kontrollør ind... på den bus min søn var med, var der mindst 10 der fik en bøde incl. ham. Det er slet ikke ok. Hvad er det, der er Fynbus opgave? . Er det ikke, at fragte folk fra A til B. Ser man på Trustpilot er 80 % af alle kommentarer negative. Måske Fynbus burde tage sig selv og sin virksomhed lidt mere seriøs. Det er under alt kritik..."
"217","fynbus","Jeg skriver da jeg er vred                                                    Jeg skriver da jeg er vred, skuffet og egentlig også lidt ked af det.Jeg oplevede i dag at blive afvist ved nummer 41 på OBC. Jeg er ekstremt dårligt gående på krykker da jeg går med en stor støvle grundet en overrevet akillessene. Jeg skyndte mig så meget jeg kunne, da jeg kunne se hun begyndte at blinke ud. Vi havde kort øjenkontakt i sidespejlet og jeg når op til indgangsdøren INDEN hun er begyndt at køre ud. Hun kigger blot på mig, vælger at slå ud med armene og kører derefter. Det havde krævet 5 sekunder at lukke en mand på krykker ind i bussen. Hun var ikke begyndt at køre og hun så mig (slet ingen tvivl, da hun som sagt bare slår ud med armene, inden hun kører). En helt igennem dårlig og umenneskelig oplevelse"
"218","fynbus","Dårligere kundeservice er svær at finde                                                    Da der er sket en fejl med mit pendlerkort og jeg derfor ikke kan få lov til at betale det ringer jeg til kundeservice. Bag på mit kort står et mobilnummer som angiveligt skulle være fynbus’ kundecenter, det er det dog ikke. Jeg fik fat i Sydtrafik, meget venlig dame der tog telefonen og gav mig et andet nummer at ringe på. Da jeg så endelig kommer igennem til fynbus får jeg fat i en meget sur dame som bestemt ikke virker høflig. Hun siger det er mit eget problem inden jeg overhovedet får lov til at forklare mit problem, da jeg spørger om der ikke er noget de kan gøre svarer damen bare “nej, og dette er spild af tid. Du har lavet en fejl, jeg gider ikke hjælpe”. Gider ikke hjælpe!? Jeg troede kundeservicen netop var for at hjælpe os kunder?..."
"219","fynbus","Bare kør vidre!!!!                                                    Mig og min veninde tog bussen ind til tarup centeret for at få os en god gang det grønne køkken!!! Og så står der på skærmen at næste stop er tarup centeret så trykker vi.  Sku stop! Når den så når til det stop tager  han to folk ind og så køre manden sku bare vidre så vi kan stå og venter på en ny bus i 20 minutter!!! Dårlig service"
"220","fynbus","I kommer ALDRIG til tiden                                                    I kommer ALDRIG til tiden. Især når man skal have bus skift, så det umuligt at nå det- når i ALTID er 10 min+ forsinket"
"221","fynbus","Jeg kørte med bybussen nr 22 - bus 3502                                                    Jeg kørte med bybussen nr. 22 i dag fra rosengårdcentret kl. 14.45 - bus 3502. Buschaufføren skal have den ros at han var venlig, smilende og hilste når man steg ind i bussen. Det er desværre de færreste af BYbus chaufføren der er smilende efterhånden. Tak for en god og behagelig rejse helt til Tarup."
"222","fynbus","Fynbus har ikke svigtet mig!                                                    Jeg er super glad for at vi har muligheden for at komme billigt fra A til B når man ikke har en bil.Fynbus har ikke svigtet mig, og rejseplanen er altid opdateret med forsinkelser, ændringer i ruten, nedlagte stoppesteder mm."
"223","fynbus","Føj!!!                                                    Er tom for ord. Blaffer er hurtigere og bedre...."
"224","fynbus","Det kan ikke være rigtigt men fr et nej…                                                    Det kan ikke være rigtigt men fr et nej til at køre med jer idag af to klapvogn somkan slår sig sammen og det var stor børn og min barnevognen og min nyt fødte datter skulle går hjem.... Der var 7km jeg skulle går med hende...det er fan ikke ok føjføj"
"225","fynbus","Så længe fynbus                                                    Så længe fynbus, lever af tilskud, lige som alt andet offentlig, og ikke skal leve af at bringe folk fra a til b, så vil det ord service aldrig blive noget vi vil opleve her på fyn, det er nok verdens dårligste bus selskab, tænk på hvad alle de penge kunne gøre for de rigtige her på fyn, hvis de fynske kommuner stopper deres tilskud,flere penge på noget som kom alle til gavn, og så fik et firma til at køre der kan få ting til at hænge sammen, der findes nogle super dygtige vognmænd som har kørt i årvis, som også har overskud, og det er ikke fra et offentlig tilskud, luk fynbus nu, start etnyt uden tilskud, i skal lære at leve af kunder."
